met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year,significant_rain,days_since_rain,rain_category
2009-03-22,0.0,0.0,0.0,0.0,18,2009,False,11.0,8-14 days
2009-03-23,0.0,0.0,0.0,0.0,18,2009,False,12.0,8-14 days
2009-03-24,1.767,4.4,0.5,1.075,18,2009,True,0.0,0-2 days
2009-03-25,2.1,5.5,0.6,1.106,18,2009,True,0.0,0-2 days
2009-03-26,1.172,4.8,0.0,1.3,18,2009,True,0.0,0-2 days
2009-03-27,0.728,1.7,0.1,0.432,18,2009,False,1.0,0-2 days
2009-03-28,0.644,2.4,0.0,0.62,18,2009,False,2.0,0-2 days
2009-03-29,2.183,6.6,0.7,1.349,18,2009,True,0.0,0-2 days
2009-03-30,0.006,0.1,0.0,0.024,18,2009,False,1.0,0-2 days
2009-03-31,0.0,0.0,0.0,0.0,18,2009,False,2.0,0-2 days
2009-04-01,0.0,0.0,0.0,0.0,18,2009,False,3.0,3-7 days
2009-04-02,0.0,0.0,0.0,0.0,17,2009,False,4.0,3-7 days
2009-04-03,0.0,0.0,0.0,0.0,17,2009,False,5.0,3-7 days
2009-04-04,0.024,0.2,0.0,0.066,17,2009,False,6.0,3-7 days
2009-04-05,0.018,0.3,0.0,0.073,17,2009,False,7.0,3-7 days
2009-04-06,0.035,0.4,0.0,0.106,17,2009,False,8.0,8-14 days
2009-04-07,0.0,0.0,0.0,0.0,17,2009,False,9.0,8-14 days
2009-04-08,1.865,5.1,1.1,0.987,17,2009,True,0.0,0-2 days
2009-04-09,0.071,0.8,0.0,0.196,17,2009,False,1.0,0-2 days
2009-04-10,0.053,0.5,0.0,0.128,17,2009,False,2.0,0-2 days
2009-04-11,4.182,9.4,1.0,2.389,17,2009,True,0.0,0-2 days
2009-04-12,0.988,3.0,0.2,0.796,17,2009,False,1.0,0-2 days
2009-04-13,0.076,0.8,0.0,0.222,17,2009,False,2.0,0-2 days
2009-04-14,0.053,0.4,0.0,0.123,17,2009,False,3.0,3-7 days
2009-04-15,3.382,6.0,0.6,1.73,17,2009,True,0.0,0-2 days
2009-04-16,0.535,1.2,0.0,0.352,17,2009,False,1.0,0-2 days
2009-04-17,7.306,11.6,3.7,2.294,17,2009,True,0.0,0-2 days
2009-04-18,4.465,9.5,1.6,2.087,17,2009,True,0.0,0-2 days
2009-04-19,0.0,0.0,0.0,0.0,17,2009,False,1.0,0-2 days
2009-04-20,0.0,0.0,0.0,0.0,17,2009,False,2.0,0-2 days
2009-04-21,0.0,0.0,0.0,0.0,17,2009,False,3.0,3-7 days
2009-04-22,0.0,0.0,0.0,0.0,17,2009,False,4.0,3-7 days
2009-04-23,0.0,0.0,0.0,0.0,17,2009,False,5.0,3-7 days
2009-04-24,0.0,0.0,0.0,0.0,17,2009,False,6.0,3-7 days
2009-04-25,0.535,1.2,0.0,0.403,17,2009,False,7.0,3-7 days
2009-04-26,0.0,0.0,0.0,0.0,17,2009,False,8.0,8-14 days
2009-04-27,0.435,2.3,0.0,0.633,17,2009,False,9.0,8-14 days
2009-04-28,3.982,7.8,2.2,1.45,17,2009,True,0.0,0-2 days
2009-04-29,0.824,8.3,0.0,1.961,17,2009,False,1.0,0-2 days
2009-04-30,0.0,0.0,0.0,0.0,17,2009,False,2.0,0-2 days
2009-05-01,0.0,0.0,0.0,0.0,17,2009,False,3.0,3-7 days
2009-05-02,0.0,0.0,0.0,0.0,16,2009,False,4.0,3-7 days
2009-05-03,0.0,0.0,0.0,0.0,16,2009,False,5.0,3-7 days
2009-05-04,0.0,0.0,0.0,0.0,16,2009,False,6.0,3-7 days
2009-05-05,0.106,0.5,0.0,0.165,16,2009,False,7.0,3-7 days
2009-05-06,0.0,0.0,0.0,0.0,16,2009,False,8.0,8-14 days
2009-05-07,0.0,0.0,0.0,0.0,16,2009,False,9.0,8-14 days
2009-05-08,1.069,2.9,0.0,0.818,16,2009,True,0.0,0-2 days
2009-05-09,0.7,1.8,0.0,0.523,16,2009,False,1.0,0-2 days
2009-05-10,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-05-11,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-05-12,0.0,0.0,0.0,0.0,16,2009,False,4.0,3-7 days
2009-05-13,0.212,1.0,0.0,0.314,16,2009,False,5.0,3-7 days
2009-05-14,0.062,0.3,0.0,0.102,16,2009,False,6.0,3-7 days
2009-05-15,4.95,10.7,1.6,2.959,16,2009,True,0.0,0-2 days
2009-05-16,2.625,4.7,0.7,1.037,16,2009,True,0.0,0-2 days
2009-05-17,0.488,2.0,0.0,0.551,16,2009,False,1.0,0-2 days
2009-05-18,3.606,6.9,1.7,1.564,16,2009,True,0.0,0-2 days
2009-05-19,1.3,5.9,0.0,1.452,16,2009,True,0.0,0-2 days
2009-05-20,0.425,1.3,0.0,0.347,16,2009,False,1.0,0-2 days
2009-05-21,0.019,0.3,0.0,0.075,16,2009,False,2.0,0-2 days
2009-05-22,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-05-23,0.0,0.0,0.0,0.0,16,2009,False,4.0,3-7 days
2009-05-24,0.0,0.0,0.0,0.0,16,2009,False,5.0,3-7 days
2009-05-25,0.0,0.0,0.0,0.0,16,2009,False,6.0,3-7 days
2009-05-26,13.331,16.0,9.3,2.228,16,2009,True,0.0,0-2 days
2009-05-27,0.612,3.7,0.0,0.864,16,2009,False,1.0,0-2 days
2009-05-28,1.3,2.8,0.0,0.729,16,2009,True,0.0,0-2 days
2009-05-29,0.0,0.0,0.0,0.0,16,2009,False,1.0,0-2 days
2009-05-30,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-05-31,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-06-01,0.0,0.0,0.0,0.0,16,2009,False,4.0,3-7 days
2009-06-02,0.006,0.1,0.0,0.025,16,2009,False,5.0,3-7 days
2009-06-03,0.0,0.0,0.0,0.0,16,2009,False,6.0,3-7 days
2009-06-04,0.0,0.0,0.0,0.0,16,2009,False,7.0,3-7 days
2009-06-05,0.0,0.0,0.0,0.0,16,2009,False,8.0,8-14 days
2009-06-06,3.044,5.7,1.2,1.519,16,2009,True,0.0,0-2 days
2009-06-07,17.056,23.7,8.2,4.513,16,2009,True,0.0,0-2 days
2009-06-08,1.812,7.3,0.0,2.117,16,2009,True,0.0,0-2 days
2009-06-09,4.75,9.2,1.8,2.13,16,2009,True,0.0,0-2 days
2009-06-10,0.644,5.0,0.0,1.367,16,2009,False,1.0,0-2 days
2009-06-11,3.475,12.0,1.0,2.942,16,2009,True,0.0,0-2 days
2009-06-12,0.0,0.0,0.0,0.0,16,2009,False,1.0,0-2 days
2009-06-13,0.0,0.0,0.0,0.0,16,2009,False,2.0,0-2 days
2009-06-14,0.344,1.3,0.0,0.488,16,2009,False,3.0,3-7 days
2009-06-15,0.0,0.0,0.0,0.0,16,2009,False,4.0,3-7 days
2009-06-16,8.431,18.4,0.7,6.07,16,2009,True,0.0,0-2 days
2009-06-17,0.0,0.0,0.0,0.0,16,2009,False,1.0,0-2 days
2009-06-18,0.025,0.2,0.0,0.058,16,2009,False,2.0,0-2 days
2009-06-19,0.006,0.1,0.0,0.025,16,2009,False,3.0,3-7 days
2009-06-20,0.1,0.5,0.0,0.171,16,2009,False,4.0,3-7 days
2009-06-21,0.012,0.2,0.0,0.05,16,2009,False,5.0,3-7 days
2009-06-22,0.0,0.0,0.0,0.0,16,2009,False,6.0,3-7 days
2009-06-23,0.0,0.0,0.0,0.0,16,2009,False,7.0,3-7 days
2009-06-24,0.0,0.0,0.0,0.0,16,2009,False,8.0,8-14 days
2009-06-25,0.0,0.0,0.0,0.0,16,2009,False,9.0,8-14 days
2009-06-26,0.256,1.3,0.0,0.43,16,2009,False,10.0,8-14 days
2009-06-27,0.0,0.0,0.0,0.0,16,2009,False,11.0,8-14 days
2009-06-28,12.988,50.7,0.0,15.998,16,2009,True,0.0,0-2 days
2009-06-29,0.0,0.0,0.0,0.0,16,2009,False,1.0,0-2 days
2009-06-30,0.244,3.7,0.0,0.923,16,2009,False,2.0,0-2 days
2009-07-01,0.0,0.0,0.0,0.0,16,2009,False,3.0,3-7 days
2009-07-02,0.0,0.0,0.0,0.0,17,2009,False,4.0,3-7 days
2009-07-03,3.529,13.4,0.0,4.556,17,2009,True,0.0,0-2 days
2009-07-04,0.006,0.1,0.0,0.024,17,2009,False,1.0,0-2 days
2009-07-05,0.0,0.0,0.0,0.0,17,2009,False,2.0,0-2 days
2009-07-06,0.376,2.5,0.0,0.758,17,2009,False,3.0,3-7 days
2009-07-07,3.465,8.2,1.2,2.015,17,2009,True,0.0,0-2 days
2009-07-08,12.424,18.4,5.3,4.13,17,2009,True,0.0,0-2 days
2009-07-09,1.088,3.4,0.0,0.891,17,2009,True,0.0,0-2 days
2009-07-10,0.012,0.2,0.0,0.049,17,2009,False,1.0,0-2 days
2009-07-11,0.006,0.1,0.0,0.024,17,2009,False,2.0,0-2 days
2009-07-12,5.935,8.6,4.0,1.605,17,2009,True,0.0,0-2 days
2009-07-13,0.012,0.1,0.0,0.033,17,2009,False,1.0,0-2 days
2009-07-14,0.4,2.6,0.0,0.872,17,2009,False,2.0,0-2 days
2009-07-15,4.041,11.3,0.9,2.711,17,2009,True,0.0,0-2 days
2009-07-16,0.424,1.7,0.0,0.64,17,2009,False,1.0,0-2 days
2009-07-17,12.588,16.7,7.4,2.494,17,2009,True,0.0,0-2 days
2009-07-18,3.265,6.6,1.2,1.242,17,2009,True,0.0,0-2 days
2009-07-19,0.053,0.2,0.0,0.087,17,2009,False,1.0,0-2 days
2009-07-20,0.324,1.2,0.0,0.429,17,2009,False,2.0,0-2 days
2009-07-21,1.159,3.1,0.0,1.036,17,2009,True,0.0,0-2 days
2009-07-22,0.788,1.8,0.2,0.359,17,2009,False,1.0,0-2 days
2009-07-23,0.059,0.3,0.0,0.094,17,2009,False,2.0,0-2 days
2009-07-24,1.576,7.3,0.0,2.227,17,2009,True,0.0,0-2 days
2009-07-25,3.653,12.5,1.2,2.796,17,2009,True,0.0,0-2 days
2009-07-26,0.012,0.2,0.0,0.049,17,2009,False,1.0,0-2 days
