Conventions,G,BADC-CSV,1
title,G,uk-mean-wind-obs
source,G,Met Office MIDAS database
creator,G,Met Office
activity,G,Met Office MIDAS Open: UK Land Surface Stations Data
feature_type,G,point series
collection_name,G,midas-open
collection_version_number,G,dataset-version-202507
history,G,Created 2025-06-24
last_revised_date,G,2025-06-24
observation_station,G,kew-gardens
historic_county_name,G,greater-london
authority,G,Met Office
authority_comments,G,The authority is the latest organisation which owned the station
authority_comments,G,Closed stations without an authority listed have the authority set to NA
midas_station_id,G,00723
location,G,51.482,-0.294
height,G,6,m
date_valid,G,2009-01-01 00:00:00,2009-12-31 23:59:59
midas_qc_version_number,G,1
comments,G,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
comments,G,This file contains station observations
comments,G,missing values are identified with the missing data flag
missing_value,G,NA
coordinate_variable,ob_end_time,t
long_name,ob_end_time,Date at end of observation period,s
type,ob_end_time,char
comments,ob_end_time,Date and time (YYYY-MM-DD HH:MM:SS) at the end of the observation period
long_name,id,station identifier,1
type,id,char
comments,id,a station may have more than one id assigned to it designated by the id_type
long_name,id_type,identifier type,1
type,id_type,char
comments,id_type,a station may have more than one id assigned to it defined by id_type
long_name,ob_hour_count,Observation hour count,hours
type,ob_hour_count,int
long_name,version_num,midas qc version number,1
type,version_num,int
comments,version_num,The midas_qc_version_number indicates if the data are original received message (0) or current best version (1)
long_name,met_domain_name,message type,1
type,met_domain_name,char
comments,met_domain_name,message type (see MIDAS documentation)
long_name,src_id,unique source identifier or station site number,1
type,src_id,int
comments,src_id,unique source identifier or station site number
long_name,rec_st_ind,state indicator for the record,1
type,rec_st_ind,int
comments,rec_st_ind,state indicator for the current stage in the life of the record (see MIDAS documentation)
long_name,mean_wind_dir,Mean wind direciton,deg true
type,mean_wind_dir,int
long_name,mean_wind_speed,Mean wind speed,knots
type,mean_wind_speed,float
long_name,max_gust_dir,Direction of maximum wind gust,deg true
type,max_gust_dir,int
long_name,max_gust_speed,Speed of maximum wind gust,knots
type,max_gust_speed,float
long_name,max_gust_ctime,Clock time of maximum gust HHMM,s
type,max_gust_ctime,char
long_name,mean_wind_dir_q,QC code: Mean wind direction,1
type,mean_wind_dir_q,int
long_name,mean_wind_speed_q,QC code: Mean wind speed,1
type,mean_wind_speed_q,int
long_name,max_gust_dir_q,QC code: Direction of maximum wind gust,1
type,max_gust_dir_q,int
long_name,max_gust_speed_q,QC code: Speed of maximum wind gust,1
type,max_gust_speed_q,int
long_name,max_gust_ctime_q,QC code: Clock time of maximum gust HHMM,1
type,max_gust_ctime_q,int
long_name,mean_wind_dir_j,Descriptor: Mean wind direction,1
type,mean_wind_dir_j,char
long_name,mean_wind_speed_j,Descriptor: Mean wind speed,1
type,mean_wind_speed_j,char
long_name,max_gust_dir_j,Descriptor: Direction of maximum wind gust,1
type,max_gust_dir_j,char
long_name,max_gust_speed_j,Descriptor: Speed of maximum wind gust,1
type,max_gust_speed_j,char
long_name,meto_stmp_time,Met Office receipt stamp time,s
type,meto_stmp_time,char
comments,meto_stmp_time,Met Office receipt stampe time in format (YYYY-MM-DD HH:MM:SS)
long_name,midas_stmp_etime,Elapsed time to storage in MIDAS,minutes
type,midas_stmp_etime,int
data
ob_end_time,id_type,id,ob_hour_count,met_domain_name,version_num,src_id,rec_st_ind,mean_wind_dir,mean_wind_speed,max_gust_dir,max_gust_speed,max_gust_ctime,mean_wind_dir_q,mean_wind_speed_q,max_gust_dir_q,max_gust_speed_q,max_gust_ctime_q,mean_wind_dir_j,mean_wind_speed_j,max_gust_dir_j,max_gust_speed_j,meto_stmp_time,midas_stmp_etime
2009-01-01 19:00:00,WIND,526001,1,AWSHRLY,1,723,1011,20.0,3.0,30.0,6.0,1812.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-01 19:06:00,355.0
2009-01-01 20:00:00,WIND,526001,1,AWSHRLY,1,723,1011,30.0,2.0,10.0,6.0,1948.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-01 20:06:00,295.0
2009-01-01 21:00:00,WIND,526001,1,AWSHRLY,1,723,1011,20.0,3.0,40.0,8.0,2037.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-01 21:05:00,236.0
2009-01-01 22:00:00,WIND,526001,1,AWSHRLY,1,723,1011,20.0,3.0,10.0,7.0,2155.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-01 22:06:00,175.0
2009-01-01 23:00:00,WIND,526001,1,AWSHRLY,1,723,1011,30.0,3.0,40.0,7.0,2207.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-01 23:03:00,118.0
2009-01-02 00:00:00,WIND,526001,1,AWSHRLY,1,723,1011,360.0,2.0,30.0,6.0,2348.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 00:03:00,1501.0
2009-01-02 01:00:00,WIND,526001,1,AWSHRLY,1,723,1011,30.0,2.0,20.0,6.0,3.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 01:03:00,1441.0
2009-01-02 02:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,2.0,10.0,6.0,148.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 02:03:00,1381.0
2009-01-02 03:00:00,WIND,526001,1,AWSHRLY,1,723,1011,360.0,2.0,30.0,4.0,218.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 03:03:00,1321.0
2009-01-02 04:00:00,WIND,526001,1,AWSHRLY,1,723,1011,20.0,2.0,10.0,5.0,354.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 04:04:00,1260.0
2009-01-02 05:00:00,WIND,526001,1,AWSHRLY,1,723,1011,340.0,2.0,10.0,6.0,453.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 05:03:00,1201.0
2009-01-02 06:00:00,WIND,526001,1,AWSHRLY,1,723,1011,360.0,2.0,20.0,6.0,506.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 06:04:00,1140.0
2009-01-02 07:00:00,WIND,526001,1,AWSHRLY,1,723,1011,340.0,1.0,20.0,4.0,651.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 07:03:00,1081.0
2009-01-02 08:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,2.0,10.0,4.0,732.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 08:03:00,1021.0
2009-01-02 09:00:00,WIND,526001,1,AWSHRLY,1,723,1011,360.0,2.0,10.0,5.0,830.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 09:03:00,961.0
2009-01-02 10:00:00,WIND,526001,1,AWSHRLY,1,723,1011,20.0,2.0,10.0,7.0,957.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 10:03:00,901.0
2009-01-02 11:00:00,WIND,526001,1,AWSHRLY,1,723,1011,40.0,4.0,10.0,11.0,1056.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 11:03:00,841.0
2009-01-02 12:00:00,WIND,526001,1,AWSHRLY,1,723,1011,30.0,5.0,40.0,12.0,1159.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 12:04:00,780.0
2009-01-02 13:00:00,WIND,526001,1,AWSHRLY,1,723,1011,50.0,6.0,20.0,15.0,1218.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 13:03:00,721.0
2009-01-02 14:00:00,WIND,526001,1,AWSHRLY,1,723,1011,10.0,4.0,30.0,11.0,1357.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 14:03:00,661.0
2009-01-02 15:00:00,WIND,526001,1,AWSHRLY,1,723,1011,50.0,5.0,50.0,13.0,1432.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 15:03:00,601.0
2009-01-02 16:00:00,WIND,526001,1,AWSHRLY,1,723,1011,60.0,5.0,50.0,14.0,1517.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 16:03:00,541.0
2009-01-02 17:00:00,WIND,526001,1,AWSHRLY,1,723,1011,50.0,4.0,80.0,11.0,1601.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 17:03:00,481.0
2009-01-02 18:00:00,WIND,526001,1,AWSHRLY,1,723,1011,50.0,6.0,60.0,16.0,1747.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 18:04:00,420.0
2009-01-02 19:00:00,WIND,526001,1,AWSHRLY,1,723,1011,70.0,7.0,90.0,16.0,1840.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 19:03:00,361.0
2009-01-02 20:00:00,WIND,526001,1,AWSHRLY,1,723,1011,60.0,6.0,70.0,14.0,1900.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 20:03:00,301.0
2009-01-02 21:00:00,WIND,526001,1,AWSHRLY,1,723,1011,60.0,6.0,70.0,13.0,2025.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 21:03:00,241.0
2009-01-02 22:00:00,WIND,526001,1,AWSHRLY,1,723,1011,60.0,5.0,50.0,13.0,2110.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 22:04:00,180.0
2009-01-02 23:00:00,WIND,526001,1,AWSHRLY,1,723,1011,60.0,4.0,70.0,8.0,2209.0,6,6,6,6,6,NA,NA,NA,NA,2009-01-02 23:03:00,121.0
