date,fire_count
2011-01-01,2
2011-01-02,3
2011-01-03,1
2011-01-04,5
2011-01-05,4
2011-01-06,1
2011-01-07,1
2011-01-08,3
2011-01-09,2
2011-01-10,0
2011-01-11,0
2011-01-12,0
2011-01-13,1
2011-01-14,2
2011-01-15,2
2011-01-16,5
2011-01-17,3
2011-01-18,0
2011-01-19,3
2011-01-20,1
2011-01-21,4
2011-01-22,5
2011-01-23,7
2011-01-24,2
2011-01-25,4
2011-01-26,3
2011-01-27,2
2011-01-28,2
2011-01-29,6
2011-01-30,4
2011-01-31,5
2011-02-01,7
2011-02-02,2
2011-02-03,2
2011-02-04,4
2011-02-05,9
2011-02-06,13
2011-02-07,6
2011-02-08,3
2011-02-09,3
2011-02-10,3
2011-02-11,2
2011-02-12,7
2011-02-13,0
2011-02-14,2
2011-02-15,1
2011-02-16,3
2011-02-17,4
2011-02-18,6
2011-02-19,1
2011-02-20,0
2011-02-21,2
2011-02-22,2
2011-02-23,3
2011-02-24,3
2011-02-25,6
2011-02-26,4
2011-02-27,2
2011-02-28,2
2011-03-01,4
2011-03-02,9
2011-03-03,4
2011-03-04,6
2011-03-05,7
2011-03-06,5
2011-03-07,7
2011-03-08,11
2011-03-09,3
2011-03-10,6
2011-03-11,9
2011-03-12,13
2011-03-13,7
2011-03-14,9
2011-03-15,6
2011-03-16,3
2011-03-17,2
2011-03-18,0
2011-03-19,5
2011-03-20,6
2011-03-21,13
2011-03-22,8
2011-03-23,10
2011-03-24,11
2011-03-25,5
2011-03-26,16
2011-03-27,12
2011-03-28,12
2011-03-29,13
2011-03-30,1
2011-03-31,4
2011-04-01,3
2011-04-02,13
2011-04-03,19
2011-04-04,12
2011-04-05,4
2011-04-06,16
2011-04-07,16
2011-04-08,23
2011-04-09,15
2011-04-10,29
2011-04-11,27
2011-04-12,24
2011-04-13,19
2011-04-14,16
2011-04-15,12
2011-04-16,27
2011-04-17,14
2011-04-18,15
2011-04-19,18
2011-04-20,21
2011-04-21,28
2011-04-22,24
2011-04-23,19
2011-04-24,21
2011-04-25,26
2011-04-26,16
2011-04-27,22
2011-04-28,20
2011-04-29,16
2011-04-30,25
2011-05-01,34
2011-05-02,45
2011-05-03,27
2011-05-04,32
2011-05-05,16
2011-05-06,30
2011-05-07,25
2011-05-08,21
2011-05-09,23
2011-05-10,18
2011-05-11,15
2011-05-12,26
2011-05-13,32
2011-05-14,26
2011-05-15,31
2011-05-16,24
2011-05-17,14
2011-05-18,27
2011-05-19,23
2011-05-20,35
2011-05-21,48
2011-05-22,33
2011-05-23,42
2011-05-24,58
2011-05-25,69
2011-05-26,25
2011-05-27,5
2011-05-28,9
2011-05-29,27
2011-05-30,20
2011-05-31,26
2011-06-01,23
2011-06-02,38
2011-06-03,33
2011-06-04,39
2011-06-05,15
2011-06-06,5
2011-06-07,6
2011-06-08,5
2011-06-09,12
2011-06-10,7
2011-06-11,7
2011-06-12,2
2011-06-13,9
2011-06-14,5
2011-06-15,7
2011-06-16,6
2011-06-17,3
2011-06-18,5
2011-06-19,10
2011-06-20,7
2011-06-21,11
2011-06-22,10
2011-06-23,2
2011-06-24,10
2011-06-25,5
2011-06-26,16
2011-06-27,11
2011-06-28,3
2011-06-29,9
2011-06-30,11
2011-07-01,19
2011-07-02,22
2011-07-03,30
2011-07-04,22
2011-07-05,11
2011-07-06,8
2011-07-07,3
2011-07-08,4
2011-07-09,11
2011-07-10,13
2011-07-11,15
2011-07-12,14
2011-07-13,14
2011-07-14,17
2011-07-15,26
2011-07-16,7
2011-07-17,8
2011-07-18,5
2011-07-19,4
2011-07-20,1
2011-07-21,2
2011-07-22,4
2011-07-23,17
2011-07-24,16
2011-07-25,22
2011-07-26,18
2011-07-27,14
2011-07-28,20
2011-07-29,21
2011-07-30,25
2011-07-31,24
2011-08-01,23
2011-08-02,19
2011-08-03,25
2011-08-04,2
2011-08-05,7
2011-08-06,16
2011-08-07,16
2011-08-08,13
2011-08-09,39
2011-08-10,40
2011-08-11,7
2011-08-12,12
2011-08-13,9
2011-08-14,19
2011-08-15,16
2011-08-16,15
2011-08-17,11
2011-08-18,6
2011-08-19,6
2011-08-20,17
2011-08-21,15
2011-08-22,15
2011-08-23,2
2011-08-24,3
2011-08-25,3
2011-08-26,5
2011-08-27,2
2011-08-28,8
2011-08-29,7
2011-08-30,7
2011-08-31,10
2011-09-01,8
2011-09-02,20
2011-09-03,7
2011-09-04,5
2011-09-05,2
2011-09-06,0
2011-09-07,2
2011-09-08,4
2011-09-09,8
2011-09-10,7
2011-09-11,9
2011-09-12,7
2011-09-13,1
2011-09-14,7
2011-09-15,10
2011-09-16,11
2011-09-17,10
2011-09-18,5
2011-09-19,10
2011-09-20,5
2011-09-21,3
2011-09-22,7
2011-09-23,10
2011-09-24,18
2011-09-25,23
2011-09-26,6
2011-09-27,10
2011-09-28,14
2011-09-29,18
2011-09-30,24
2011-10-01,26
2011-10-02,34
2011-10-03,31
2011-10-04,13
2011-10-05,17
2011-10-06,8
2011-10-07,9
2011-10-08,20
2011-10-09,14
2011-10-10,14
2011-10-11,15
2011-10-12,11
2011-10-13,7
2011-10-14,18
2011-10-15,18
2011-10-16,12
2011-10-17,22
2011-10-18,9
2011-10-19,14
2011-10-20,12
2011-10-21,17
2011-10-22,18
2011-10-23,23
2011-10-24,24
2011-10-25,10
2011-10-26,6
2011-10-27,4
2011-10-28,7
2011-10-29,9
2011-10-30,5
2011-10-31,25
2011-11-01,13
2011-11-02,7
2011-11-03,0
2011-11-04,5
2011-11-05,36
2011-11-06,22
2011-11-07,8
2011-11-08,2
2011-11-09,4
2011-11-10,3
2011-11-11,2
2011-11-12,0
2011-11-13,8
2011-11-14,11
2011-11-15,3
2011-11-16,6
2011-11-17,4
2011-11-18,8
2011-11-19,5
2011-11-20,1
2011-11-21,4
2011-11-22,5
2011-11-23,1
2011-11-24,1
2011-11-25,2
2011-11-26,6
2011-11-27,12
2011-11-28,5
2011-11-29,5
2011-11-30,8
2011-12-01,0
2011-12-02,3
2011-12-03,3
2011-12-04,1
2011-12-05,2
2011-12-06,4
2011-12-07,6
2011-12-08,3
2011-12-09,3
2011-12-10,9
2011-12-11,6
2011-12-12,3
2011-12-13,5
2011-12-14,2
2011-12-15,0
2011-12-16,0
2011-12-17,2
2011-12-18,4
2011-12-19,2
2011-12-20,1
2011-12-21,0
2011-12-22,2
2011-12-23,2
2011-12-24,2
2011-12-25,3
2011-12-26,4
2011-12-27,7
2011-12-28,7
2011-12-29,6
2011-12-30,0
2011-12-31,1
