date,fire_count
2017-01-01,5
2017-01-02,2
2017-01-03,2
2017-01-04,3
2017-01-05,1
2017-01-06,6
2017-01-07,0
2017-01-08,2
2017-01-09,1
2017-01-10,4
2017-01-11,2
2017-01-12,3
2017-01-13,1
2017-01-14,3
2017-01-15,5
2017-01-16,1
2017-01-17,4
2017-01-18,3
2017-01-19,4
2017-01-20,1
2017-01-21,0
2017-01-22,3
2017-01-23,1
2017-01-24,3
2017-01-25,4
2017-01-26,2
2017-01-27,1
2017-01-28,4
2017-01-29,1
2017-01-30,0
2017-01-31,0
2017-02-01,1
2017-02-02,1
2017-02-03,2
2017-02-04,1
2017-02-05,1
2017-02-06,1
2017-02-07,1
2017-02-08,2
2017-02-09,6
2017-02-10,2
2017-02-11,3
2017-02-12,1
2017-02-13,4
2017-02-14,3
2017-02-15,2
2017-02-16,4
2017-02-17,4
2017-02-18,4
2017-02-19,6
2017-02-20,5
2017-02-21,4
2017-02-22,1
2017-02-23,4
2017-02-24,8
2017-02-25,3
2017-02-26,6
2017-02-27,0
2017-02-28,0
2017-03-01,2
2017-03-02,6
2017-03-03,3
2017-03-04,8
2017-03-05,3
2017-03-06,5
2017-03-07,5
2017-03-08,4
2017-03-09,7
2017-03-10,6
2017-03-11,8
2017-03-12,8
2017-03-13,5
2017-03-14,6
2017-03-15,8
2017-03-16,7
2017-03-17,11
2017-03-18,6
2017-03-19,9
2017-03-20,6
2017-03-21,6
2017-03-22,4
2017-03-23,3
2017-03-24,7
2017-03-25,13
2017-03-26,7
2017-03-27,10
2017-03-28,12
2017-03-29,7
2017-03-30,13
2017-03-31,14
2017-04-01,11
2017-04-02,11
2017-04-03,16
2017-04-04,10
2017-04-05,8
2017-04-06,13
2017-04-07,21
2017-04-08,17
2017-04-09,36
2017-04-10,13
2017-04-11,25
2017-04-12,20
2017-04-13,19
2017-04-14,17
2017-04-15,22
2017-04-16,23
2017-04-17,16
2017-04-18,18
2017-04-19,19
2017-04-20,16
2017-04-21,11
2017-04-22,17
2017-04-23,14
2017-04-24,12
2017-04-25,16
2017-04-26,15
2017-04-27,6
2017-04-28,11
2017-04-29,17
2017-04-30,19
2017-05-01,10
2017-05-02,6
2017-05-03,8
2017-05-04,11
2017-05-05,8
2017-05-06,12
2017-05-07,17
2017-05-08,12
2017-05-09,16
2017-05-10,20
2017-05-11,16
2017-05-12,5
2017-05-13,19
2017-05-14,26
2017-05-15,9
2017-05-16,13
2017-05-17,1
2017-05-18,2
2017-05-19,3
2017-05-20,6
2017-05-21,3
2017-05-22,8
2017-05-23,6
2017-05-24,9
2017-05-25,14
2017-05-26,22
2017-05-27,9
2017-05-28,9
2017-05-29,5
2017-05-30,11
2017-05-31,10
2017-06-01,18
2017-06-02,11
2017-06-03,7
2017-06-04,14
2017-06-05,7
2017-06-06,0
2017-06-07,2
2017-06-08,7
2017-06-09,2
2017-06-10,17
2017-06-11,13
2017-06-12,7
2017-06-13,17
2017-06-14,12
2017-06-15,16
2017-06-16,23
2017-06-17,22
2017-06-18,16
2017-06-19,23
2017-06-20,25
2017-06-21,14
2017-06-22,22
2017-06-23,25
2017-06-24,18
2017-06-25,17
2017-06-26,26
2017-06-27,9
2017-06-28,4
2017-06-29,9
2017-06-30,13
2017-07-01,16
2017-07-02,24
2017-07-03,16
2017-07-04,17
2017-07-05,19
2017-07-06,21
2017-07-07,24
2017-07-08,29
2017-07-09,29
2017-07-10,32
2017-07-11,7
2017-07-12,5
2017-07-13,14
2017-07-14,19
2017-07-15,12
2017-07-16,12
2017-07-17,16
2017-07-18,19
2017-07-19,4
2017-07-20,5
2017-07-21,10
2017-07-22,4
2017-07-23,5
2017-07-24,7
2017-07-25,2
2017-07-26,9
2017-07-27,4
2017-07-28,4
2017-07-29,3
2017-07-30,4
2017-07-31,12
2017-08-01,5
2017-08-02,4
2017-08-03,2
2017-08-04,5
2017-08-05,5
2017-08-06,11
2017-08-07,6
2017-08-08,14
2017-08-09,2
2017-08-10,3
2017-08-11,5
2017-08-12,12
2017-08-13,13
2017-08-14,9
2017-08-15,9
2017-08-16,9
2017-08-17,7
2017-08-18,6
2017-08-19,7
2017-08-20,5
2017-08-21,1
2017-08-22,4
2017-08-23,3
2017-08-24,6
2017-08-25,14
2017-08-26,8
2017-08-27,7
2017-08-28,15
2017-08-29,16
2017-08-30,1
2017-08-31,9
2017-09-01,6
2017-09-02,9
2017-09-03,10
2017-09-04,7
2017-09-05,3
2017-09-06,6
2017-09-07,6
2017-09-08,5
2017-09-09,6
2017-09-10,7
2017-09-11,3
2017-09-12,6
2017-09-13,1
2017-09-14,4
2017-09-15,7
2017-09-16,4
2017-09-17,6
2017-09-18,1
2017-09-19,3
2017-09-20,4
2017-09-21,2
2017-09-22,10
2017-09-23,6
2017-09-24,15
2017-09-25,3
2017-09-26,7
2017-09-27,6
2017-09-28,7
2017-09-29,1
2017-09-30,7
2017-10-01,2
2017-10-02,7
2017-10-03,1
2017-10-04,5
2017-10-05,8
2017-10-06,8
2017-10-07,5
2017-10-08,8
2017-10-09,2
2017-10-10,5
2017-10-11,2
2017-10-12,3
2017-10-13,3
2017-10-14,15
2017-10-15,12
2017-10-16,13
2017-10-17,17
2017-10-18,10
2017-10-19,4
2017-10-20,10
2017-10-21,12
2017-10-22,10
2017-10-23,8
2017-10-24,13
2017-10-25,11
2017-10-26,4
2017-10-27,5
2017-10-28,8
2017-10-29,13
2017-10-30,7
2017-10-31,18
2017-11-01,13
2017-11-02,5
2017-11-03,9
2017-11-04,11
2017-11-05,31
2017-11-06,8
2017-11-07,2
2017-11-08,4
2017-11-09,5
2017-11-10,8
2017-11-11,3
2017-11-12,2
2017-11-13,3
2017-11-14,3
2017-11-15,2
2017-11-16,5
2017-11-17,5
2017-11-18,5
2017-11-19,3
2017-11-20,3
2017-11-21,6
2017-11-22,5
2017-11-23,4
2017-11-24,4
2017-11-25,4
2017-11-26,12
2017-11-27,1
2017-11-28,2
2017-11-29,4
2017-11-30,2
2017-12-01,2
2017-12-02,5
2017-12-03,5
2017-12-04,4
2017-12-05,2
2017-12-06,4
2017-12-07,0
2017-12-08,5
2017-12-09,1
2017-12-10,3
2017-12-11,0
2017-12-12,6
2017-12-13,2
2017-12-14,2
2017-12-15,1
2017-12-16,1
2017-12-17,0
2017-12-18,3
2017-12-19,3
2017-12-20,3
2017-12-21,1
2017-12-22,1
2017-12-23,4
2017-12-24,2
2017-12-25,1
2017-12-26,0
2017-12-27,1
2017-12-28,2
2017-12-29,3
2017-12-30,3
2017-12-31,3
