met_day,fire_count,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode,station_count
2022-01-01,5,235.42,523.59,86.819,13.342,15.067,12.583,10.836,12.183,9.15,12.021,12.65,11.217,85.014,94.267,69.45,1017.396,1010.369,,8.85,12.4,1762.604,600.0,21.0,0.0,0.117,1.133,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,56.0,,6.0,1.0,,6.0,235.42,523.59,86.819,200.606,1.0,6
2022-01-02,0,198.833,302.901,81.498,11.335,13.0,9.3,8.906,11.4,5.867,10.138,12.1,7.833,85.106,94.25,77.1,1010.471,1003.448,,10.225,14.4,3156.042,590.0,25.0,0.0,0.033,0.533,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,26.0,,6.0,1.0,,6.0,198.833,302.901,81.498,228.553,1.0,6
2022-01-03,2,199.409,285.577,85.601,9.528,10.6,8.517,6.856,7.517,6.083,8.268,8.867,7.75,83.492,92.383,77.467,1007.948,1000.894,,8.442,12.8,2241.667,1375.0,20.0,0.0,0.0,0.033,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,6.0,,6.0,1.0,,6.0,199.409,285.577,85.601,226.415,1.0,6
2022-01-04,2,122.552,215.989,52.298,5.144,8.483,1.6,2.87,7.4,-1.65,4.251,7.967,0.467,85.306,94.633,73.05,1001.376,994.264,,6.633,11.4,2542.188,590.0,24.0,0.0,0.0,0.15,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,106.0,,6.0,1.0,,6.0,122.552,215.989,52.298,284.43,1.0,6
2022-01-05,0,172.202,324.028,56.737,2.825,6.15,-0.033,-0.622,0.7,-1.933,1.544,3.9,-0.55,78.139,90.917,65.567,1013.784,1006.511,,7.092,11.0,3170.833,1675.0,,0.0,0.817,2.983,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,,,6.0,1.0,,6.0,172.202,324.028,56.737,290.141,0.0,6
2022-01-06,1,102.742,267.666,21.322,2.281,7.15,-3.033,0.463,6.233,-3.717,1.558,6.7,-3.283,87.306,96.833,71.65,1016.522,1009.233,,5.692,13.8,2100.417,385.0,23.667,0.0,0.15,1.183,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,39.333,,6.0,1.0,,6.0,102.742,267.666,21.322,206.804,1.0,6
2022-01-07,1,146.36,287.736,44.427,3.915,6.183,0.65,1.187,4.133,-0.333,2.85,5.167,0.3,82.68,93.333,68.833,1010.634,1003.419,,9.192,14.4,3993.75,1525.0,23.667,0.0,0.417,1.283,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,39.333,,6.0,1.0,,6.0,146.36,287.736,44.427,250.696,1.0,6
2022-01-08,1,96.385,286.78,22.429,6.126,10.017,0.617,4.56,9.1,-0.15,5.462,9.533,0.333,90.056,97.533,72.167,1001.515,994.426,,8.15,14.2,2103.021,427.5,23.667,0.0,0.0,0.0,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,6.0,,6.0,1.0,,6.0,96.385,286.78,22.429,231.879,1.0,6
2022-01-09,0,163.761,356.37,39.355,4.359,7.967,1.783,1.408,2.75,0.033,3.185,5.6,1.217,81.562,94.533,66.683,1003.007,995.861,,5.917,10.0,2621.875,1325.0,,0.0,0.783,2.567,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,,,6.0,1.0,,6.0,163.761,356.37,39.355,249.484,0.0,6
2022-01-10,1,69.221,165.987,19.569,5.671,8.65,1.467,4.622,7.917,0.883,5.207,8.2,1.233,93.077,98.0,84.483,1018.459,1011.254,,2.933,5.8,1203.646,400.0,,0.0,0.0,0.05,,22.667,22.667,22.667,6.0,6.0,,26.0,26.0,6.0,,,6.0,1.0,,6.0,69.221,165.987,19.569,148.958,0.0,6
