met_day,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode,station_count
2014-06-14,17.471875,20.225,14.275,12.852083333333333,15.1125,9.85,14.8859375,16.5375,11.9875,74.928125,90.6625,63.0,1024.961111111111,1015.8666666666668,1024.8125,7.083333333333334,10.0,2477.2916666666665,655.0,18.0,0.0,0.625,1.8,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,111.77980510376476,1.0,8
2014-06-15,15.002604166666668,17.1625,13.5375,10.1390625,11.525,8.45,12.445833333333335,13.7375,11.0625,72.83333333333334,83.4875,65.0375,1027.826388888889,1018.6291666666666,1027.6458333333335,8.260416666666668,10.25,3298.9583333333335,1700.0,,0.0,0.0125,0.2,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,33.63339133348607,0.5,8
2014-06-16,14.505208333333332,16.4875,12.8875,9.383854166666666,10.7125,7.8125,11.8625,13.325,10.9,71.58177083333334,82.275,62.9625,1027.8194444444446,1018.6041666666666,1027.6875,8.703571428571427,10.8,3119.7916666666665,2225.0,,0.0,0.21250000000000002,0.3375,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,21.304206167965656,0.0,8
2014-06-17,15.7046875,19.6,13.0,8.047395833333333,9.95,4.975,11.830208333333333,13.4,10.55,61.69270833333333,75.625,41.4625,1027.2861111111113,1018.1138888888889,1027.125,9.358333333333334,11.8,2700.0,1675.0,20.0,0.0,1.1625,3.5875000000000004,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,22.904922408795265,0.0,8
2014-06-18,16.619791666666668,20.375,13.3125,11.403645833333334,13.2375,9.825,13.7734375,15.3,12.137500000000001,72.87760416666667,93.45,53.275,1026.1291666666666,1016.9930555555555,1025.8541666666667,6.8083333333333345,9.2,2765.4166666666665,862.5,,0.0,0.8625,2.2625,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,97.23441364026009,0.0,8
2014-06-19,15.902604166666666,19.875,11.85,12.047916666666666,14.45,9.45,13.767708333333333,16.6375,10.9875,78.45052083333333,92.2625,67.1875,1023.0083333333332,1013.8763888888889,1022.7291666666666,5.725,9.6,1778.4375,762.5,,0.0,0.6125,2.4625,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,157.5660061593291,0.0,8
2014-06-20,15.9609375,21.1875,10.6625,9.091145833333334,11.1,7.575,12.3578125,14.925,9.525,65.66666666666667,87.0125,46.875,1022.3791666666666,1013.2458333333334,1021.9791666666667,3.0416666666666665,7.2,2659.375,1700.0,,0.0,0.95,2.0375,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,270.3453769432143,0.0,8
2014-06-21,18.064583333333335,22.175,13.475,9.722916666666666,11.75,7.9375,13.5984375,15.950000000000001,10.975,59.1171875,75.9625,44.375,1019.6861111111111,1010.6555555555556,1019.4166666666667,5.666666666666667,8.2,2751.0416666666665,1850.0,,0.0,1.675,4.775,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,295.1061130686528,0.0,8
2014-06-22,18.664583333333333,22.7875,13.675,10.9375,13.075,8.8375,14.433333333333334,16.1625,12.35,62.966145833333336,87.45,42.7125,1021.3430555555556,1012.3055555555557,1021.0,4.775,7.8,2410.833333333333,935.0,,0.0,0.85,2.8375,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,104.15122853986702,0.0,8
2014-06-23,18.539583333333333,23.4375,14.0125,10.522395833333334,14.2875,8.1,14.194270833333333,16.1625,11.45,61.41770833333333,83.0125,41.5125,1022.0763888888888,1013.0527777777776,1021.8125,2.875,6.0,2850.0,1825.0,,0.0,0.6125,1.425,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,109.78922555570566,0.0,8
