met_day,max_air_temp,min_air_temp,min_grss_temp,min_conc_temp,station_count
2020-12-31,1.2,-0.9,-1.7,-0.6,6
2021-01-01,4.4,-0.2,1.9,2.6,6
2021-01-02,5.1,0.5,-1.7,-0.7,6
2021-01-03,5.8,2.7,0.7,1.0,6
2021-01-04,5.0,1.9,0.1,0.1,5
2021-01-05,4.3,2.4,1.3,1.8,5
2021-01-06,5.7,-0.2,-3.5,-2.3,5
2021-01-07,2.9,-1.8,-3.8,-1.9,5
2021-01-08,2.4,-0.7,-1.4,-0.5,5
2021-01-09,3.4,-2.4,-6.2,-3.4,5
2021-01-10,6.0,-1.0,1.6,2.1,5
2021-01-11,9.3,5.7,6.6,6.5,5
2021-01-12,7.7,0.6,-2.9,-0.8,6
2021-01-13,9.8,4.1,6.1,6.2,6
2021-01-14,6.2,0.1,-2.7,-1.4,6
2021-01-15,4.0,-0.5,-4.8,-2.4,6
2021-01-16,8.2,2.6,0.1,0.4,6
2021-01-17,7.8,1.5,-3.0,-2.1,6
2021-01-18,11.6,3.1,5.0,4.7,6
2021-01-19,11.8,9.5,8.6,8.7,6
2021-01-20,10.2,3.7,1.4,1.6,6
2021-01-21,8.5,-0.0,-4.1,-3.0,6
2021-01-22,8.0,-0.7,-4.6,-1.7,6
2021-01-23,4.5,-2.9,-7.7,-4.8,6
2021-01-24,1.7,-2.9,-7.1,-3.6,6
2021-01-25,5.0,-2.3,-6.4,-4.0,6
2021-01-26,7.7,0.7,4.1,3.6,6
2021-01-27,11.3,7.5,7.7,7.2,6
2021-01-28,13.0,8.2,6.2,6.1,6
2021-01-29,11.1,5.0,4.0,5.0,6
2021-01-30,4.9,0.6,-2.4,-1.8,6
2021-01-31,4.0,1.5,2.3,3.2,6
2021-02-01,9.9,3.2,2.7,3.7,6
2021-02-02,13.0,7.4,5.1,5.8,6
2021-02-03,10.3,2.2,-2.1,-1.0,6
2021-02-04,9.1,4.7,2.5,3.6,6
2021-02-05,11.0,4.5,1.8,3.6,6
2021-02-06,8.4,1.7,1.1,1.9,6
