date,pump_count
2023-11-07,4
2023-11-08,2
2023-11-09,3
2023-11-10,2
2023-11-11,9
2023-11-12,5
2023-11-13,8
2023-11-14,1
2023-11-15,6
2023-11-16,2
2023-11-17,3
2023-11-18,3
2023-11-19,3
2023-11-20,4
2023-11-21,3
2023-11-22,9
2023-11-23,5
2023-11-24,6
2023-11-25,2
2023-11-26,4
2023-11-27,2
2023-11-28,5
2023-11-29,2
2023-11-30,3
2023-12-01,2
2023-12-02,1
2023-12-03,2
2023-12-04,2
2023-12-05,1
2023-12-06,0
2023-12-07,2
2023-12-08,3
2023-12-09,0
2023-12-10,4
2023-12-11,4
2023-12-12,1
2023-12-13,2
2023-12-14,1
2023-12-15,3
2023-12-16,1
2023-12-17,4
2023-12-18,5
2023-12-19,3
2023-12-20,3
2023-12-21,3
2023-12-22,7
2023-12-23,10
2023-12-24,5
2023-12-25,3
2023-12-26,4
2023-12-27,2
2023-12-28,4
2023-12-29,2
2023-12-30,4
2023-12-31,0
