date,pump_hours
2022-01-01,11.0
2022-01-02,0.0
2022-01-03,5.0
2022-01-04,2.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,4.0
2022-01-08,1.0
2022-01-09,0.0
2022-01-10,2.2
2022-01-11,3.0
2022-01-12,2.0
2022-01-13,3.0
2022-01-14,5.0
2022-01-15,3.283333333333333
2022-01-16,4.0
2022-01-17,4.4
2022-01-18,1.0
2022-01-19,4.0
2022-01-20,6.133333333333333
2022-01-21,6.0
2022-01-22,0.0
2022-01-23,3.0
2022-01-24,4.0
2022-01-25,2.0
2022-01-26,9.45
2022-01-27,2.0
2022-01-28,3.0
2022-01-29,6.0
2022-01-30,7.0
2022-01-31,4.25
2022-02-01,4.0
2022-02-02,6.0
2022-02-03,3.0
2022-02-04,4.133333333333333
2022-02-05,5.0
2022-02-06,10.4
2022-02-07,2.0
2022-02-08,3.966666666666667
2022-02-09,6.0
2022-02-10,2.0
2022-02-11,3.0
2022-02-12,4.0
2022-02-13,4.0
2022-02-14,3.0
2022-02-15,15.266666666666667
2022-02-16,1.0
2022-02-17,6.0
2022-02-18,5.4
2022-02-19,3.0
2022-02-20,2.0
2022-02-21,0.0
2022-02-22,6.116666666666667
2022-02-23,8.366666666666667
2022-02-24,2.0
2022-02-25,2.65
2022-02-26,9.0
2022-02-27,10.0
2022-02-28,3.0
2022-03-01,0.0
2022-03-02,2.0
2022-03-03,1.0
2022-03-04,4.0
2022-03-05,7.483333333333333
2022-03-06,3.0
2022-03-07,6.166666666666667
2022-03-08,5.216666666666667
2022-03-09,8.0
2022-03-10,8.0
2022-03-11,9.0
2022-03-12,7.2
2022-03-13,2.0
2022-03-14,9.0
2022-03-15,6.9
2022-03-16,1.0
2022-03-17,2.283333333333333
2022-03-18,1.0
2022-03-19,7.0
2022-03-20,8.133333333333333
2022-03-21,5.0
2022-03-22,6.0
2022-03-23,15.966666666666667
2022-03-24,11.0
2022-03-25,7.333333333333333
2022-03-26,13.133333333333333
2022-03-27,7.0
2022-03-28,8.0
2022-03-29,11.8
2022-03-30,5.0
2022-03-31,7.0
2022-04-01,9.183333333333334
2022-04-02,13.766666666666666
2022-04-03,10.616666666666667
2022-04-04,0.0
2022-04-05,11.25
2022-04-06,3.0
2022-04-07,5.466666666666667
2022-04-08,2.0
2022-04-09,7.0
2022-04-10,8.0
2022-04-11,19.15
2022-04-12,7.783333333333333
2022-04-13,11.0
2022-04-14,9.4
2022-04-15,174.66666666666669
2022-04-16,18.0
2022-04-17,22.03333333333333
2022-04-18,12.15
2022-04-19,15.033333333333333
2022-04-20,311.3833333333333
2022-04-21,17.7
2022-04-22,18.633333333333333
2022-04-23,9.0
2022-04-24,22.03333333333333
2022-04-25,11.0
2022-04-26,16.216666666666665
2022-04-27,14.316666666666666
2022-04-28,11.55
2022-04-29,12.0
2022-04-30,18.833333333333332
2022-05-01,12.266666666666666
2022-05-02,17.95
