met_day,fire_count,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode,station_count
2018-01-01,9,203.608,316.328,117.29,6.594,7.633,5.317,3.233,5.383,2.05,5.188,6.517,4.183,79.347,88.0,69.6,999.342,990.124,998.812,9.865,15.5,3297.222,1333.333,22.75,0.0,0.017,0.4,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,203.608,316.328,117.29,246.793,1.0,6
2018-01-02,1,119.54,252.609,22.373,7.388,12.017,3.983,5.477,11.267,1.5,6.574,11.6,3.033,87.882,97.817,73.533,1005.342,996.101,1004.646,8.927,17.5,1564.444,316.667,26.5,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,119.54,252.609,22.373,219.859,1.0,6
2018-01-03,0,367.074,526.148,215.345,8.888,11.15,7.317,3.241,7.75,1.267,6.472,9.517,5.1,68.008,81.317,58.183,996.396,987.286,995.917,18.64,23.25,1837.5,766.667,39.75,0.0,0.233,1.117,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,367.074,526.148,215.345,267.614,1.0,6
2018-01-04,1,209.597,502.56,0.0,8.173,12.55,6.017,5.077,10.25,2.383,6.802,10.85,5.117,81.571,100.0,63.65,994.705,985.676,986.704,10.396,24.25,1897.778,310.0,45.0,0.0,0.017,0.433,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,209.597,502.56,0.0,238.423,1.0,6
2018-01-05,1,166.756,393.599,29.584,5.988,8.833,2.433,3.249,5.167,1.183,4.838,6.633,2.033,83.231,96.467,64.6,994.826,985.64,994.25,7.308,14.75,2898.611,1066.667,24.667,0.0,0.4,0.867,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,166.756,393.599,29.584,228.126,1.0,6
2018-01-06,2,96.336,197.415,17.393,3.438,5.533,1.167,1.635,3.267,-0.533,2.733,4.483,0.9,88.276,97.65,75.183,1009.649,1000.238,1009.271,6.792,12.667,1689.306,296.667,,0.0,0.15,0.183,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,51.0,,6.0,96.336,197.415,17.393,35.424,0.0,6
2018-01-07,3,219.095,390.045,113.183,3.375,5.7,2.083,-1.146,0.9,-2.867,1.739,3.217,0.6,72.34,85.1,57.45,1024.881,1015.332,1024.667,12.069,16.333,3069.444,1600.0,28.5,0.0,0.783,1.5,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,51.0,,6.0,219.095,390.045,113.183,50.14,0.0,6
2018-01-08,2,125.248,170.502,91.657,4.14,4.817,2.917,1.822,2.75,-0.467,3.226,3.933,1.7,84.783,89.033,77.833,1021.226,1011.722,1020.875,9.014,12.333,1523.611,633.333,22.0,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,51.0,,6.0,125.248,170.502,91.657,79.852,1.0,6
2018-01-09,2,65.349,91.541,31.129,5.282,7.633,4.0,4.19,6.617,2.45,4.819,7.15,3.383,92.631,96.7,89.183,1007.761,998.421,1007.333,5.094,7.25,453.056,256.667,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,65.349,91.541,31.129,133.571,1.0,6
2018-01-10,1,95.426,284.892,12.175,7.126,9.633,3.933,5.718,7.983,3.483,6.495,8.317,3.767,91.106,98.75,76.167,1004.825,995.588,1004.292,5.177,11.0,1769.306,276.667,17.0,0.0,0.4,2.2,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,95.426,284.892,12.175,246.673,1.0,6
2018-01-11,5,53.922,94.939,9.445,5.865,7.25,3.35,5.036,6.1,2.967,5.5,6.717,3.217,94.581,98.933,90.733,1017.894,1008.496,1017.479,4.042,7.0,405.278,226.667,,0.0,0.0,0.017,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,53.922,94.939,9.445,340.514,1.0,6
2018-01-12,0,94.924,164.786,24.186,6.473,7.233,5.383,4.976,6.1,2.867,5.825,6.5,4.383,90.292,97.467,82.7,1025.693,1016.226,1025.167,4.052,8.25,754.167,216.667,,0.0,0.0,0.05,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,94.924,164.786,24.186,127.329,1.0,6
2018-01-13,2,177.005,266.798,134.115,5.792,7.567,4.533,2.791,4.067,1.25,4.554,5.967,3.3,81.065,85.3,74.45,1020.183,1010.742,1019.688,7.635,10.5,1125.0,833.333,,0.0,0.067,0.6,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,177.005,266.798,134.115,133.128,1.0,6
2018-01-14,5,221.884,315.491,167.818,4.942,6.283,3.983,0.84,1.417,0.3,3.346,4.1,2.7,74.797,79.75,66.85,1018.042,1008.603,1017.667,4.198,8.25,1262.5,833.333,,0.0,0.0,0.117,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,221.884,315.491,167.818,101.61,1.0,6
2018-01-15,1,139.306,279.177,36.455,7.873,10.683,5.167,5.764,9.633,1.533,6.94,9.983,3.717,86.703,96.883,73.983,999.129,989.954,998.479,12.0,17.5,2127.778,416.667,27.333,0.0,0.117,0.55,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,139.306,279.177,36.455,228.047,1.0,6
2018-01-16,5,232.264,452.876,105.059,5.373,7.433,2.867,1.143,3.867,-1.45,3.715,5.283,1.833,74.741,87.8,55.417,995.264,986.047,994.646,13.083,18.0,3670.833,1733.333,28.0,0.0,0.683,2.217,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,232.264,452.876,105.059,255.85,1.0,6
2018-01-17,2,268.064,453.936,107.338,4.732,7.383,2.483,-0.475,4.167,-2.3,2.785,5.167,0.95,69.38,88.5,55.65,1004.417,995.21,1003.896,13.258,18.25,2865.278,833.333,28.75,0.0,0.883,3.05,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,268.064,453.936,107.338,254.561,1.0,6
2018-01-18,2,302.231,494.389,55.253,7.545,11.567,3.167,2.631,8.483,-0.4,5.507,9.317,1.883,71.652,94.817,59.417,1000.262,991.067,999.688,14.833,30.0,3419.583,463.333,48.5,0.0,0.65,2.217,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,302.231,494.389,55.253,265.792,1.0,6
2018-01-19,4,170.617,383.373,47.038,3.261,6.567,0.25,-0.046,0.883,-1.067,2.01,4.017,-0.217,79.452,92.833,60.4,1009.089,999.701,1008.5,8.188,13.25,3236.111,2000.0,22.0,0.0,0.917,3.267,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,170.617,383.373,47.038,248.395,1.0,6
2018-01-20,2,54.526,103.087,18.121,3.289,4.567,1.7,2.236,4.083,0.067,2.881,4.333,1.15,92.894,97.833,85.967,1003.593,994.236,1003.043,4.865,7.25,1280.972,233.333,,0.0,0.0,0.1,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,54.526,103.087,18.121,76.745,1.0,6
2018-01-21,1,29.476,92.085,0.0,3.492,10.667,0.85,2.94,10.033,0.1,3.275,10.283,0.567,96.203,100.0,91.3,1011.672,1002.243,1011.271,5.031,10.25,911.944,236.667,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,29.476,92.085,0.0,192.986,1.0,6
2018-01-22,2,214.604,452.076,75.047,8.8,10.483,7.017,5.664,9.333,3.05,7.403,9.883,5.567,81.213,93.5,63.333,1012.221,1002.966,1011.662,6.828,11.0,2390.217,1200.0,18.0,0.0,0.117,0.883,,339.333,6.0,339.333,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,214.604,452.076,75.047,267.834,1.0,6
2018-01-23,5,161.96,264.55,72.563,10.385,12.717,7.95,8.297,10.867,4.367,9.384,11.55,6.4,87.036,94.267,77.1,1015.717,1006.461,1008.042,9.792,13.5,2383.472,663.333,23.0,0.0,0.0,0.15,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,161.96,264.55,72.563,215.499,1.0,6
2018-01-24,2,135.814,251.916,48.307,9.742,12.733,6.433,8.022,11.033,4.733,8.905,11.767,5.717,89.137,95.633,81.417,1007.579,998.39,1006.833,13.552,21.0,1665.0,403.333,34.25,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,135.814,251.916,48.307,221.083,1.0,6
