met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year
2017-01-01,0.26,0.8,0.0,0.196,15,2017
2017-01-02,7.557,11.0,5.0,1.968,14,2017
2017-01-03,0.036,0.2,0.0,0.074,14,2017
2017-01-04,0.107,0.2,0.0,0.092,14,2017
2017-01-05,0.107,0.5,0.0,0.169,14,2017
2017-01-06,0.043,0.2,0.0,0.085,14,2017
2017-01-07,4.486,7.5,2.8,1.385,14,2017
2017-01-08,0.214,0.8,0.0,0.268,14,2017
2017-01-09,1.743,4.1,0.6,0.961,14,2017
2017-01-10,3.436,4.6,2.4,0.707,14,2017
2017-01-11,0.0,0.0,0.0,0.0,14,2017
2017-01-12,0.007,0.1,0.0,0.027,14,2017
2017-01-13,18.536,22.5,14.4,2.43,14,2017
2017-01-14,0.343,0.9,0.0,0.253,14,2017
2017-01-15,3.029,4.5,1.8,0.804,14,2017
2017-01-16,6.286,8.2,4.8,0.977,14,2017
2017-01-17,1.921,4.3,0.6,0.995,14,2017
2017-01-18,0.014,0.2,0.0,0.053,14,2017
2017-01-19,0.029,0.2,0.0,0.073,14,2017
2017-01-20,0.021,0.2,0.0,0.058,14,2017
2017-01-21,0.036,0.2,0.0,0.074,14,2017
2017-01-22,0.029,0.2,0.0,0.073,14,2017
2017-01-23,0.021,0.2,0.0,0.058,14,2017
2017-01-24,0.057,0.2,0.0,0.094,14,2017
2017-01-25,0.05,0.2,0.0,0.085,14,2017
2017-01-26,0.064,0.2,0.0,0.084,14,2017
2017-01-27,0.036,0.2,0.0,0.074,14,2017
2017-01-28,0.257,1.2,0.0,0.303,14,2017
2017-01-29,1.014,3.8,0.0,1.276,14,2017
2017-01-30,11.671,19.4,9.0,2.938,14,2017
2017-01-31,0.693,1.2,0.2,0.308,14,2017
2017-02-01,5.229,9.5,2.8,2.167,14,2017
2017-02-02,1.74,3.6,0.6,1.025,15,2017
2017-02-03,1.66,3.5,0.2,1.113,15,2017
2017-02-04,2.993,6.7,1.4,1.269,15,2017
2017-02-05,1.033,3.5,0.0,0.889,15,2017
2017-02-06,0.007,0.1,0.0,0.026,15,2017
2017-02-07,6.893,10.8,5.6,1.266,15,2017
2017-02-08,0.0,0.0,0.0,0.0,15,2017
2017-02-09,0.0,0.0,0.0,0.0,15,2017
2017-02-10,0.813,2.2,0.0,0.669,15,2017
2017-02-11,1.347,2.2,0.6,0.503,15,2017
2017-02-12,1.607,3.6,0.8,0.876,15,2017
2017-02-13,0.04,0.2,0.0,0.083,15,2017
2017-02-14,0.0,0.0,0.0,0.0,15,2017
2017-02-15,0.06,0.6,0.0,0.159,15,2017
2017-02-16,1.56,3.2,0.7,0.704,15,2017
2017-02-17,0.107,0.5,0.0,0.158,15,2017
2017-02-18,0.0,0.0,0.0,0.0,15,2017
2017-02-19,0.0,0.0,0.0,0.0,15,2017
2017-02-20,0.0,0.0,0.0,0.0,15,2017
2017-02-21,1.013,3.4,0.0,1.008,15,2017
2017-02-22,0.007,0.1,0.0,0.026,15,2017
2017-02-23,2.08,4.6,0.6,1.207,15,2017
2017-02-24,0.067,0.7,0.0,0.18,15,2017
2017-02-25,0.033,0.2,0.0,0.072,15,2017
2017-02-26,1.32,2.6,0.1,0.648,15,2017
2017-02-27,8.973,14.9,4.0,2.701,15,2017
2017-02-28,4.56,6.3,2.8,0.946,15,2017
2017-03-01,1.307,2.4,0.6,0.584,15,2017
2017-03-02,0.275,0.8,0.0,0.259,16,2017
2017-03-03,0.569,1.4,0.1,0.386,16,2017
2017-03-04,1.8,4.8,0.2,1.386,16,2017
2017-03-05,2.569,5.3,0.9,1.349,16,2017
2017-03-06,4.594,11.7,1.6,2.566,16,2017
2017-03-07,0.244,0.8,0.0,0.273,16,2017
2017-03-08,1.675,3.1,1.0,0.602,16,2017
2017-03-09,1.219,2.2,0.4,0.565,16,2017
2017-03-10,0.0,0.0,0.0,0.0,16,2017
2017-03-11,0.0,0.0,0.0,0.0,16,2017
2017-03-12,0.0,0.0,0.0,0.0,16,2017
2017-03-13,0.956,3.0,0.0,0.911,16,2017
2017-03-14,0.0,0.0,0.0,0.0,16,2017
2017-03-15,0.0,0.0,0.0,0.0,16,2017
2017-03-16,0.025,0.2,0.0,0.058,16,2017
2017-03-17,0.0,0.0,0.0,0.0,16,2017
2017-03-18,0.45,1.8,0.0,0.418,16,2017
2017-03-19,0.012,0.2,0.0,0.05,16,2017
2017-03-20,0.95,2.6,0.2,0.525,16,2017
2017-03-21,1.225,3.4,0.1,0.75,16,2017
2017-03-22,0.706,2.0,0.0,0.589,16,2017
2017-03-23,7.269,13.9,4.4,2.649,16,2017
2017-03-24,0.006,0.1,0.0,0.025,16,2017
2017-03-25,0.006,0.1,0.0,0.025,16,2017
2017-03-26,0.006,0.1,0.0,0.025,16,2017
2017-03-27,0.0,0.0,0.0,0.0,16,2017
2017-03-28,0.0,0.0,0.0,0.0,16,2017
2017-03-29,0.644,5.5,0.0,1.304,16,2017
2017-03-30,0.012,0.2,0.0,0.05,16,2017
2017-03-31,0.0,0.0,0.0,0.0,16,2017
2017-04-01,0.012,0.2,0.0,0.05,16,2017
2017-04-02,0.406,3.4,0.0,1.028,16,2017
2017-04-03,0.012,0.2,0.0,0.05,16,2017
2017-04-04,0.212,1.2,0.0,0.37,16,2017
2017-04-05,0.0,0.0,0.0,0.0,16,2017
2017-04-06,0.006,0.1,0.0,0.025,16,2017
2017-04-07,0.0,0.0,0.0,0.0,16,2017
2017-04-08,0.0,0.0,0.0,0.0,16,2017
2017-04-09,0.0,0.0,0.0,0.0,16,2017
2017-04-10,0.0,0.0,0.0,0.0,16,2017
2017-04-11,0.019,0.2,0.0,0.054,16,2017
2017-04-12,0.006,0.1,0.0,0.025,16,2017
