met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year
2010-01-01,0.031,0.2,0.0,0.07,16,2010
2010-01-02,0.012,0.1,0.0,0.033,17,2010
2010-01-03,0.0,0.0,0.0,0.0,17,2010
2010-01-04,0.0,0.0,0.0,0.0,17,2010
2010-01-05,0.024,0.2,0.0,0.066,17,2010
2010-01-06,4.618,8.8,1.6,2.001,17,2010
2010-01-07,2.888,6.6,0.4,1.527,17,2010
2010-01-08,0.218,1.1,0.0,0.309,17,2010
2010-01-09,0.035,0.2,0.0,0.07,17,2010
2010-01-10,0.388,3.9,0.0,0.922,17,2010
2010-01-11,2.229,3.6,1.3,0.7,17,2010
2010-01-12,0.176,1.6,0.0,0.385,17,2010
2010-01-13,1.876,4.5,0.1,1.28,17,2010
2010-01-14,7.4,11.1,4.3,2.211,17,2010
2010-01-15,1.847,5.4,0.1,1.576,17,2010
2010-01-16,1.124,2.7,0.0,0.905,17,2010
2010-01-17,8.741,12.5,4.0,2.158,17,2010
2010-01-18,0.1,0.8,0.0,0.194,17,2010
2010-01-19,0.1,1.4,0.0,0.343,17,2010
2010-01-20,0.1,0.8,0.0,0.25,17,2010
2010-01-21,1.259,3.9,0.0,1.302,17,2010
2010-01-22,1.547,3.6,0.0,0.977,17,2010
2010-01-23,5.541,9.3,2.6,2.097,17,2010
2010-01-24,0.012,0.1,0.0,0.033,17,2010
2010-01-25,2.641,5.3,1.0,1.157,17,2010
2010-01-26,0.547,1.5,0.0,0.4,17,2010
2010-01-27,0.0,0.0,0.0,0.0,17,2010
2010-01-28,0.741,2.2,0.0,0.505,17,2010
2010-01-29,7.765,9.2,6.6,0.773,17,2010
2010-01-30,0.382,1.2,0.0,0.338,17,2010
2010-01-31,0.0,0.0,0.0,0.0,17,2010
2010-02-01,0.024,0.2,0.0,0.056,17,2010
2010-02-02,0.294,0.7,0.1,0.166,18,2010
2010-02-03,1.889,3.7,0.8,0.972,18,2010
2010-02-04,1.272,2.3,0.3,0.521,18,2010
2010-02-05,3.433,4.7,2.0,0.77,18,2010
2010-02-06,0.233,0.5,0.0,0.178,18,2010
2010-02-07,0.05,0.3,0.0,0.099,18,2010
2010-02-08,0.461,1.0,0.0,0.285,18,2010
