met_day,prcp_mean,prcp_max,prcp_min,prcp_std,n_stations,year
2014-01-01,7.18,9.8,3.8,1.557,15,2014
2014-01-02,18.557,27.0,9.4,6.339,14,2014
2014-01-03,6.579,11.9,3.6,2.259,14,2014
2014-01-04,8.979,15.0,3.8,3.38,14,2014
2014-01-05,3.036,6.3,1.4,1.583,14,2014
2014-01-06,10.064,19.1,6.0,3.638,14,2014
2014-01-07,2.686,11.3,0.2,3.183,14,2014
2014-01-08,10.693,19.6,2.8,4.578,14,2014
2014-01-09,2.507,9.0,0.8,2.214,14,2014
2014-01-10,0.007,0.1,0.0,0.027,14,2014
2014-01-11,3.657,5.7,2.2,0.916,14,2014
2014-01-12,0.043,0.2,0.0,0.085,14,2014
2014-01-13,2.15,5.3,0.8,1.306,14,2014
2014-01-14,2.443,5.2,0.4,1.362,14,2014
2014-01-15,4.521,7.2,3.6,1.189,14,2014
2014-01-16,3.886,7.5,0.8,2.158,14,2014
2014-01-17,18.057,28.6,9.4,5.309,14,2014
2014-01-18,1.693,5.7,0.2,1.947,14,2014
2014-01-19,0.871,2.0,0.0,0.558,14,2014
2014-01-20,0.007,0.1,0.0,0.027,14,2014
2014-01-21,0.064,0.2,0.0,0.093,14,2014
2014-01-22,3.693,9.2,0.6,2.63,14,2014
2014-01-23,0.214,0.4,0.0,0.146,14,2014
2014-01-24,1.879,4.0,0.0,1.093,14,2014
2014-01-25,4.607,6.1,3.2,1.051,14,2014
2014-01-26,2.014,3.5,1.0,0.696,14,2014
2014-01-27,5.286,10.6,2.4,2.193,14,2014
2014-01-28,1.379,3.4,0.6,0.675,14,2014
2014-01-29,9.057,22.0,1.8,5.969,14,2014
2014-01-30,13.064,18.0,10.8,2.238,14,2014
2014-01-31,1.429,2.6,0.1,0.77,14,2014
2014-02-01,15.45,27.0,4.8,6.801,14,2014
2014-02-02,0.214,0.8,0.0,0.225,14,2014
2014-02-03,0.014,0.2,0.0,0.053,14,2014
2014-02-04,0.343,1.0,0.0,0.337,14,2014
2014-02-05,11.593,18.6,5.9,3.878,14,2014
2014-02-06,3.843,7.0,0.9,1.948,14,2014
2014-02-07,14.136,24.3,8.6,5.35,14,2014
2014-02-08,8.636,14.6,3.0,3.911,14,2014
2014-02-09,3.564,6.4,1.4,1.684,14,2014
2014-02-10,0.6,1.0,0.2,0.263,14,2014
2014-02-11,1.821,5.6,0.9,1.158,14,2014
2014-02-12,3.907,6.5,1.3,1.657,14,2014
2014-02-13,9.657,15.2,4.4,2.707,14,2014
2014-02-14,0.493,1.5,0.0,0.467,14,2014
2014-02-15,12.693,18.0,8.8,3.025,14,2014
