met_day,fire_count,VPD_mean,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode,station_count
2009-01-01,12,124.125,1.714,2.656,0.9,-0.996,-0.4,-1.489,0.745,1.389,0.089,82.223,86.189,77.7,1030.293,1021.384,1029.979,3.344,4.286,559.583,418.333,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,57.512,2.667,9
2009-01-02,4,126.975,2.509,4.25,0.762,-0.105,1.312,-3.012,1.553,2.7,-0.5,83.077,92.562,71.05,1030.133,1021.25,1029.75,5.826,8.5,970.917,310.0,,0.0,0.162,0.188,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,35.008,0.667,8
2009-01-03,2,154.166,-1.146,1.6,-3.1,-4.843,-4.022,-5.556,-2.208,-0.5,-3.589,73.924,82.444,62.489,1029.925,1020.921,1029.396,2.821,4.0,1842.5,1140.0,,0.0,0.689,0.733,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,20.267,3.0,9
2009-01-04,7,98.549,-2.444,-0.878,-4.367,-4.777,-3.467,-6.022,-3.059,-1.744,-4.544,81.276,85.789,76.333,1023.638,1014.671,1023.229,2.726,4.714,995.208,735.0,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,223.16,4.0,9
2009-01-05,6,112.836,0.761,2.156,-0.667,-1.724,0.233,-4.111,-0.037,1.111,-1.533,82.601,94.067,69.178,1021.738,1012.856,1021.5,10.568,13.714,1340.556,486.667,,0.0,0.211,0.1,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,10006.0,6.0,31.189,13.0,9
2009-01-06,3,115.899,-1.898,0.189,-3.989,-4.926,-4.122,-6.689,-2.729,-1.656,-4.211,77.766,86.289,62.622,1026.997,1017.966,1026.729,4.542,5.857,1761.111,1050.0,,0.0,0.711,0.756,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0,74.473,8.0,9
2009-01-07,2,69.29,-0.425,1.722,-3.956,-1.7,0.256,-4.967,-0.737,1.078,-3.989,88.523,95.033,81.833,1025.973,1017.007,1025.667,2.643,3.714,656.319,441.667,,0.0,0.0,0.022,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,6.0,6.0,257.657,11.667,9
2009-01-08,3,65.06,2.032,4.478,0.456,0.697,1.533,-0.2,1.527,3.2,0.233,90.986,96.244,79.311,1029.167,1020.281,1028.979,1.714,3.143,329.097,138.333,,0.0,0.267,0.389,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,177.183,3.0,9
2009-01-09,6,73.075,-1.296,0.944,-2.911,-2.502,-1.025,-3.925,-1.367,0.05,-2.8,87.489,94.225,74.662,1029.041,1020.015,1028.708,2.107,3.571,273.056,81.667,,0.0,0.411,0.667,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,108.149,4.0,9
2009-01-10,7,40.588,-3.316,-1.311,-4.667,-4.098,-1.829,-5.629,-3.596,-1.357,-5.114,91.82,94.529,88.457,1027.15,1018.098,1026.792,3.53,6.143,154.514,43.333,,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,160.043,4.0,9
2009-01-11,4,188.8,4.85,7.244,1.6,1.348,3.6,-0.556,3.49,5.356,0.978,78.345,89.089,63.278,1023.432,1014.663,1022.32,9.351,12.286,1126.875,721.667,25.0,0.0,0.322,0.311,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,193.181,3.0,9
2009-01-12,2,141.314,8.436,9.322,7.933,6.436,7.911,5.333,7.519,8.6,6.844,87.324,92.267,82.367,1011.493,1006.997,1011.229,12.751,14.857,1231.042,800.0,26.5,0.0,0.0,0.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,195.699,1.333,9
2009-01-13,2,99.417,7.53,9.011,4.256,6.057,7.244,3.411,6.861,7.967,3.911,90.704,95.533,83.856,1009.462,1004.955,1009.229,5.071,6.714,1265.694,736.667,,0.0,0.011,0.078,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,199.15,1.333,9
2009-01-14,3,31.621,2.26,4.0,0.967,1.654,2.7,0.544,2.022,3.467,0.811,95.972,98.389,90.578,1014.282,1009.686,1013.875,2.976,5.571,309.514,15.0,,0.0,0.0,0.022,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,179.73,1.333,9
2009-01-15,3,117.147,5.697,6.233,5.111,3.724,5.0,2.344,4.879,5.656,4.111,87.406,93.4,80.6,1013.308,1008.765,1012.833,7.958,9.857,1316.736,778.333,,0.0,0.0,0.022,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,158.581,1.0,9
2009-01-16,3,73.081,6.754,8.056,5.267,5.642,6.578,3.3,6.26,7.344,4.656,92.85,96.667,85.722,1013.371,1008.85,1012.896,7.827,9.857,764.097,383.333,,0.0,0.0,0.022,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,6.0,,6.0,186.046,1.0,9
2009-01-17,5,185.543,7.981,8.589,6.711,5.191,6.711,3.244,6.749,7.478,5.644,83.028,91.311,70.678,1006.271,1001.787,1005.771,12.372,16.429,1521.181,733.333,33.5,0.0,0.467,0.489,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,225.15,1.667,9
2009-01-18,5,168.94,5.28,6.478,4.433,2.227,4.833,0.578,4.064,5.711,3.356,81.194,91.467,69.511,995.547,991.065,995.104,9.625,13.857,2963.51,1833.333,25.0,0.0,0.611,0.544,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,237.755,1.333,9
2009-01-19,2,97.436,4.834,6.344,2.856,3.119,4.5,0.878,4.132,5.489,2.133,88.967,96.356,81.033,982.868,978.447,982.5,8.416,11.857,1766.597,748.333,29.0,0.0,0.044,0.056,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,199.446,2.333,9
2009-01-20,4,131.178,3.717,5.475,1.9,1.194,2.175,-0.325,2.734,4.062,1.175,83.793,89.4,77.6,992.22,983.673,990.491,6.737,8.833,2322.138,1760.0,18.0,0.0,0.112,0.112,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,210.842,1.667,8
2009-01-21,2,122.014,3.086,5.425,-0.1,0.616,2.938,-1.588,2.149,3.988,-0.462,84.362,93.512,67.525,1001.032,992.433,1000.479,5.556,10.667,1704.167,1000.0,25.0,0.0,0.562,0.6,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,213.436,2.667,8
2009-01-22,0,115.483,7.504,9.786,5.457,5.714,8.814,3.114,6.719,9.171,4.914,88.917,96.214,74.329,986.557,978.193,985.938,10.992,16.0,1220.104,462.5,25.5,0.0,0.186,0.157,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,6.0,,6.0,200.28,2.0,7
