met_day,fire_count,VPD_mean,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,wind_direction_circmean,ground_state_id_mode,station_count
2012-01-01,3,136.89,10.949,12.025,8.662,9.323,10.629,6.386,10.152,11.271,7.443,89.719,94.843,79.786,1004.875,995.746,1004.333,9.367,12.2,2169.75,638.0,21.5,0.0,0.0,0.012,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,228.263,1.0,8
2012-01-02,2,164.08,5.259,6.688,4.238,2.306,4.488,1.162,4.072,5.562,3.338,81.609,90.375,68.775,1008.604,999.282,1007.979,8.229,11.833,2635.833,2140.0,20.0,0.0,0.775,2.55,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,232.725,1.0,8
2012-01-03,0,182.839,9.201,11.888,6.988,6.621,10.662,2.988,8.053,11.262,5.512,84.178,93.562,71.95,1003.342,994.146,1002.731,18.653,24.667,1429.0,322.0,44.0,0.0,0.175,0.538,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,228.849,1.0,8
2012-01-04,2,237.571,6.585,8.375,4.975,2.536,5.35,-0.075,4.951,6.862,3.188,75.631,87.3,65.75,1014.272,1004.926,1013.56,12.896,18.833,1879.167,760.0,37.5,0.0,0.05,0.35,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,2.667,,6.0,259.615,1.0,8
2012-01-05,4,393.758,9.284,10.862,7.325,3.26,5.938,0.988,6.722,8.525,5.038,66.585,76.262,55.562,1004.954,995.783,1004.542,19.896,25.167,2320.0,1360.0,42.25,0.0,0.412,1.162,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,293.609,1.5,8
2012-01-06,5,190.008,5.864,7.625,3.512,2.593,5.675,1.225,4.526,6.75,2.65,79.802,89.275,69.012,1023.775,1014.335,1023.25,6.479,9.833,2061.667,1500.0,,0.0,0.6,2.3,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,236.18,0.5,8
2012-01-07,3,356.641,8.977,9.925,7.675,3.452,6.388,1.5,6.639,8.3,5.412,68.995,82.038,56.588,1021.869,1012.525,1021.375,11.257,14.5,2519.167,1820.0,25.5,0.0,0.262,1.362,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,291.069,0.5,8
2012-01-08,4,295.956,8.356,9.2,7.412,3.78,5.925,2.738,6.395,7.525,5.65,73.189,86.85,66.462,1026.711,1017.304,1026.25,7.417,9.167,2672.5,1260.0,,0.0,0.012,0.175,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,282.946,0.5,8
2012-01-09,4,191.3,9.744,11.388,7.762,7.174,7.8,6.225,8.517,9.388,7.212,84.258,93.862,74.075,1029.706,1020.326,1029.146,7.917,11.167,2012.5,720.0,,0.0,0.05,0.2,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,259.844,1.0,8
2012-01-10,3,136.42,9.576,10.5,8.862,7.782,8.375,6.562,8.713,9.275,8.0,88.657,95.1,82.5,1033.294,1023.867,1032.812,7.347,9.5,2394.167,1000.0,,0.0,0.1,0.288,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,251.757,1.0,8
2012-01-11,5,179.693,8.352,10.0,6.725,5.782,7.175,4.225,7.176,8.412,5.688,83.869,87.738,77.738,1033.042,1023.589,1032.458,5.764,7.667,2473.333,1520.0,,0.0,0.325,1.212,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,200.429,0.5,8
2012-01-12,5,191.717,8.445,11.662,5.488,5.631,7.975,3.112,7.174,9.738,4.538,82.727,90.962,71.238,1028.022,1018.596,1027.438,9.667,13.333,2306.667,1400.0,25.0,0.0,0.175,0.5,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,1.0,,6.0,272.394,0.5,8
2012-01-13,3,89.298,2.524,5.288,0.238,0.671,2.225,-0.8,1.815,3.712,-0.1,87.976,96.75,72.162,1033.008,1023.34,1032.5,2.771,4.833,1399.167,636.0,,0.0,0.762,2.2,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,221.591,2.5,8
2012-01-14,6,98.521,0.549,4.462,-2.288,-1.613,0.229,-3.443,-0.137,2.7,-2.786,84.833,95.929,62.914,1030.15,1020.486,1029.688,1.965,3.667,949.917,350.0,,0.0,0.788,2.85,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,52.497,4.0,8
2012-01-15,7,153.952,2.347,5.088,0.087,-1.012,0.275,-2.225,1.122,2.725,-0.625,78.797,88.438,62.438,1024.792,1015.222,1024.179,6.125,9.5,1690.0,1140.0,,0.0,0.8,2.712,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,1.0,,6.0,90.079,2.5,8
