met_day,VPD_mean,VPD_max,VPD_min,air_temperature_mean,air_temperature_max,air_temperature_min,dewpoint_mean,dewpoint_max,dewpoint_min,wetb_temp_mean,wetb_temp_max,wetb_temp_min,rltv_hum_mean,rltv_hum_max,rltv_hum_min,msl_pressure_mean,stn_pres_mean,alt_pres_mean,wind_speed_mean,wind_speed_max,visibility_mean,visibility_min,q10mnt_mxgst_spd_max,cs_hr_sun_dur_sum,wmo_hr_sun_dur_sum,drv_hr_sun_dur_sum,snow_depth_max,air_temperature_q_max,dewpoint_q_max,wetb_temp_q_max,msl_pressure_q_max,stn_pres_q_max,alt_pres_q_max,wind_direction_q_max,wind_speed_q_max,visibility_q_max,q10mnt_mxgst_spd_q_max,cs_hr_sun_dur_q_max,wmo_hr_sun_dur_q_max,drv_hr_sun_dur_q_max,snow_depth_q_max,ground_state_id_q_max,VPD_hourly_mean,VPD_hourly_max,VPD_hourly_min,wind_direction_circmean,ground_state_id_mode,station_count
2017-01-01,69.95,148.009,33.397,6.053,9.383,4.167,4.956,7.7,2.95,5.574,8.45,3.667,92.7,96.6,87.533,1018.617,1009.211,1018.104,6.979,11.5,1269.306,393.333,19.0,0.0,0.0,0.05,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,69.95,148.009,33.397,228.581,2.0,6
2017-01-02,100.256,236.781,26.058,2.444,5.1,-1.317,0.509,2.7,-2.067,1.703,3.567,-1.583,87.11,96.15,73.033,1028.385,1018.764,1027.958,5.312,8.0,2334.722,1100.0,,0.0,0.833,2.8,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,2006.0,100.256,236.781,26.058,346.481,1.0,6
2017-01-03,99.007,230.432,20.387,1.379,5.2,-2.433,-0.478,1.483,-2.933,0.667,3.583,-2.583,86.941,96.2,73.983,1028.176,1018.524,1027.625,6.573,11.5,2975.0,1000.0,,0.0,0.417,2.617,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,99.007,230.432,20.387,262.333,1.0,6
2017-01-04,190.48,388.005,103.187,4.437,7.8,0.583,0.863,4.917,-2.633,3.059,6.517,-0.6,77.757,87.4,60.05,1025.638,1016.099,1025.167,6.823,10.5,3781.944,2100.0,,0.0,0.0,0.15,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,2006.0,190.48,388.005,103.187,310.907,1.0,6
2017-01-05,111.67,297.699,23.56,0.483,5.533,-2.55,-1.743,0.433,-3.667,-0.34,3.433,-2.85,84.258,95.883,67.117,1034.456,1024.714,1033.833,2.219,4.5,1910.278,580.0,,0.0,0.867,3.333,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,111.67,297.699,23.56,305.486,4.0,6
2017-01-06,71.847,296.091,4.998,2.363,6.517,-2.183,1.128,5.333,-2.65,1.87,5.533,-2.333,91.419,99.267,69.583,1036.251,1026.592,1035.646,4.25,8.75,954.722,263.333,,0.0,0.333,0.983,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,71.847,296.091,4.998,211.867,2.0,6
2017-01-07,30.522,109.879,2.258,8.385,10.433,5.95,7.967,9.5,5.65,8.195,9.85,5.833,97.471,99.767,91.45,1032.04,1022.6,1031.542,4.219,8.5,643.611,130.0,,0.0,0.0,0.133,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,30.522,109.879,2.258,274.82,2.0,6
2017-01-08,28.801,96.388,4.966,8.477,9.65,7.167,8.072,9.033,6.917,8.295,9.25,7.083,97.518,99.533,91.933,1032.089,1022.64,1031.625,2.031,4.25,568.889,66.667,,0.0,0.0,0.083,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,28.801,96.388,4.966,251.014,2.0,6
2017-01-09,71.651,191.69,7.594,7.78,9.467,3.95,6.728,8.5,2.7,7.308,8.95,3.433,93.255,99.3,83.417,1019.35,1009.994,1018.75,7.885,12.75,1377.222,93.333,22.0,0.0,0.0,0.117,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,71.651,191.69,7.594,229.424,2.0,6
2017-01-10,139.566,285.587,38.771,6.106,8.733,3.017,3.89,6.217,2.05,5.153,7.083,2.65,85.961,95.317,74.633,1011.262,1001.931,1010.75,6.771,9.75,2127.778,866.667,,0.0,0.217,1.0,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,139.566,285.587,38.771,259.755,1.0,6
2017-01-11,279.723,581.075,37.257,8.067,10.767,5.333,3.469,8.233,-1.25,6.194,9.0,3.283,74.469,96.533,51.6,1011.207,1001.933,1010.667,9.938,16.75,2236.111,700.0,27.667,0.0,0.167,0.983,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,279.723,581.075,37.257,268.715,1.0,6
2017-01-12,138.885,254.679,15.066,4.477,6.617,0.833,1.976,4.917,-0.767,3.481,5.7,0.717,84.183,97.733,71.733,1004.967,995.621,1004.5,8.031,13.5,1816.528,256.667,20.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,6.0,6.0,138.885,254.679,15.066,249.588,1.0,6
2017-01-13,177.113,369.699,74.983,2.644,5.85,0.4,-0.983,0.15,-2.4,1.315,3.433,-0.267,77.331,88.633,59.867,1009.189,999.733,1008.729,11.667,17.5,4008.472,536.667,28.75,0.0,0.25,0.717,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,6.0,,6.0,67.667,,6.0,177.113,369.699,74.983,295.208,1.0,6
2017-01-14,91.295,209.174,22.65,1.949,4.633,-0.117,0.069,2.217,-2.15,1.249,3.367,-0.767,87.226,96.667,75.617,1020.29,1010.726,1019.75,6.51,11.0,3632.778,1120.0,,0.0,0.1,0.417,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,91.295,209.174,22.65,290.05,1.0,6
2017-01-15,27.369,69.427,2.405,5.003,8.633,0.317,4.577,8.05,-0.133,4.817,8.333,0.167,97.117,99.717,93.233,1022.706,1013.226,1022.229,5.083,9.25,939.306,290.0,,0.0,0.0,0.017,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,27.369,69.427,2.405,287.553,1.0,6
2017-01-16,58.442,120.862,18.748,5.008,7.65,3.883,4.013,7.167,2.4,4.593,7.433,3.417,93.286,98.0,85.8,1027.75,1018.214,1027.208,3.0,5.0,1207.778,166.667,,0.0,0.0,0.067,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,58.442,120.862,18.748,119.709,2.0,6
2017-01-17,157.821,505.971,12.787,2.077,5.7,-1.183,-1.281,2.55,-6.033,0.901,3.15,-2.1,80.106,98.133,44.35,1035.969,1026.275,1035.417,2.421,4.75,1361.528,350.0,,0.0,0.967,3.25,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,157.821,505.971,12.787,129.929,0.0,6
2017-01-18,169.21,482.95,29.837,0.301,5.2,-3.467,-3.37,-0.3,-5.95,-0.963,1.883,-3.767,76.817,94.6,45.217,1038.785,1029.01,1038.208,1.448,3.25,1657.222,556.667,,0.0,1.017,3.95,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,169.21,482.95,29.837,36.098,1.0,6
2017-01-19,153.782,457.852,29.5,1.423,6.617,-2.85,-1.585,0.367,-3.583,0.317,3.583,-3.083,80.818,94.6,53.083,1037.244,1027.493,1036.792,3.104,6.25,1185.833,703.333,,0.0,0.767,3.217,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,153.782,457.852,29.5,34.113,1.0,6
2017-01-20,209.34,519.733,48.286,1.992,6.75,-2.067,-2.335,-0.417,-4.817,0.449,3.317,-2.633,73.965,91.583,47.133,1033.458,1023.765,1032.958,4.708,8.75,2400.0,900.0,,0.0,1.05,3.75,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,209.34,519.733,48.286,55.42,1.0,6
2017-01-21,184.143,480.091,37.308,0.273,4.633,-3.167,-3.917,-0.833,-6.817,-1.151,1.35,-3.7,73.583,93.4,42.85,1028.069,1018.385,1027.479,3.938,8.25,2043.056,633.333,,0.0,1.017,3.75,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,184.143,480.091,37.308,100.353,0.0,6
2017-01-22,94.605,332.004,16.169,-0.461,6.517,-4.55,-2.208,1.033,-5.3,-1.116,4.217,-4.783,86.694,96.883,65.633,1027.281,1017.597,1026.708,1.729,4.0,511.667,130.0,,0.0,1.017,3.867,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,67.667,,6.0,94.605,332.004,16.169,143.709,1.0,6
2017-01-23,37.332,96.483,0.0,0.504,4.15,-3.717,-0.132,2.917,-4.133,0.261,3.633,-3.833,94.574,100.0,87.65,1028.346,1018.714,1027.771,2.135,3.75,354.333,8.667,,0.0,0.067,0.8,,6.0,6.0,6.0,6.0,6.0,1.0,6.0,6.0,6.0,,,6.0,117.667,,6.0,37.332,96.483,0.0,245.344,1.0,6
